letter,location_name,latitude,longitude
0,Essen,51.4582235,7.0158171
0,Heimweh,49.8779998,8.6438865
1,BelgiÃ«,50.6402809,4.6667145
1,Rotterdam,51.9244424,4.47775
1,Duitsland,51.1638175,10.4478313
1,Kleef,51.7854839,6.131367415330141
1,Essen,51.4582235,7.0158171
1,Nederland,52.2434979,5.6343227
1,Duitsland,51.1638175,10.4478313
1,Polen,52.215933,19.134422
4,Polen,52.215933,19.134422
5,Duitsland,51.1638175,10.4478313
5,Polen,52.215933,19.134422
8,Polen,52.215933,19.134422
9,Zaandam,52.4424926,4.8298607
11,Duitsland,51.1638175,10.4478313
11,Holland,52.2434979,5.6343227
11,Rusland,64.6863136,97.7453061
12,Hilversum,52.2241375,5.1719396
12,Arnhem,51.984257,5.9108573
12,Utrecht,52.0907006,5.1215634
13,Hooghalen,52.9207884,6.5416331
13,Stella,-14.6909792,-75.1446041
13,Hooghalen,52.9207884,6.5416331
14,Gisteren,52.2207927,6.9056421
14,Duitsland,51.1638175,10.4478313
15,Rusland,64.6863136,97.7453061
16,Polen,52.215933,19.134422
17,Polen,52.215933,19.134422
17,Lublin,51.250559,22.5701022
17,Lodz,51.7687323,19.4569911
17,Warschau,52.2337172,21.071432235636493
17,Riga,56.9493977,24.1051846
17,Kosovo,42.5869578,20.9021231
17,Napels,40.8358846,14.2487679
19,Drente,52.9067922,6.6368423
20,Hooghalen,52.9207884,6.5416331
20,Drente,52.9067922,6.6368423
22,Duitsland,51.1638175,10.4478313
23,Bremen,53.0758196,8.8071646
24,Nederland,52.2434979,5.6343227
24,Rotterdam,51.9244424,4.47775
25,Oss,51.778354199999995,5.532083610932192
26,Oss,51.778354199999995,5.532083610932192
27,Nederland,52.2434979,5.6343227
27,Rusland,64.6863136,97.7453061
30,Nederland,52.2434979,5.6343227
32,Arnhem,51.984257,5.9108573
32,Nijmegen,51.8474946,5.8637771
32,Leeuwarden,53.2005936,5.7918548
32,Den Haag,52.0799838,4.3113461
32,Rotterdam,51.9244424,4.47775
32,Drente,52.9067922,6.6368423
32,Assen,52.9952273,6.560498
32,Hoogeveen,52.7264258,6.49308148854467
32,Zwolle,52.514565250000004,6.097720359677693
32,Holland,52.2434979,5.6343227
34,Polen,52.215933,19.134422
34,Polen,52.215933,19.134422
34,Nederland,52.2434979,5.6343227
34,Vught,51.6511806,5.23680014410728
34,Den Bosch,51.6889387,5.303116
34,Polen,52.215933,19.134422
34,Vught,51.6511806,5.23680014410728
36,Reeds,37.1161702,-94.1657732
38,Polen,52.215933,19.134422
39,Rusland,64.6863136,97.7453061
39,Scheveningen,52.1067449,4.2736937
39,Scheveningen,52.1067449,4.2736937
39,Amersfoort,52.1562499,5.3896944
39,Amersfoort,52.1562499,5.3896944
40,Vught,51.6511806,5.23680014410728
40,Den Bosch,51.6889387,5.303116
40,Nederland,52.2434979,5.6343227
40,Apeldoorn,52.17957375,5.930077460807249
41,Birkenau,49.5638,8.7264
43,Vught,51.6511806,5.23680014410728
45,Amersfoort,52.1562499,5.3896944
45,Vught,51.6511806,5.23680014410728
45,Vught,51.6511806,5.23680014410728
47,Vught,51.6511806,5.23680014410728
47,Nederland,52.2434979,5.6343227
48,Scheldestraat,52.075614,4.3262126
49,Polen,52.215933,19.134422
54,Vught,51.6511806,5.23680014410728
54,Theresienstadt,50.510716,14.149717
54,Polen,52.215933,19.134422
54,Theresienstadt,50.510716,14.149717
58,Soest,51.5725501,8.1061259
58,Barneveld,52.17150665,5.645439249954029
58,Den Haag,52.0799838,4.3113461
59,Berlijn,52.5170365,13.3888599
59,Schellenberg,47.2312022,9.5458021
59,Schellenberg,47.2312022,9.5458021
59,Schellenberg,47.2312022,9.5458021
59,Soest,51.5725501,8.1061259
59,Baarn,52.2002549,5.269143393313942
60,Manchester,53.4794892,-2.2451148
61,Dassi,14.6312292,-3.5176343
61,Berlijn,52.5170365,13.3888599
61,Hoogland,52.1872469,5.3762224
61,Amerongen,52.000487,5.4600535
64,Hannover,52.3744779,9.7385532
64,Amersfoort,52.1562499,5.3896944
